Q3: Sorting and Merging Subsequences
Distribution       : Uniform
Total Elements     : 10^9 = 1000000000
Subsequences       : 1000
Elements per subseq: 1000000

Global Minimum : 0
Global Maximum : 999999998
Global Mean    : 499999997.60

Subseq     Min             Max             Mean           
0          0               999999          499722.37      
1          1000000         1999999         1500175.55     
2          2000000         2999999         2499368.47     
3          3000000         3999999         3500342.67     
4          4000002         4999998         4500282.80     
5          5000000         5999999         5500009.80     
6          6000000         6999997         6499498.75     
7          7000001         7999998         7499979.99     
8          8000000         8999998         8500071.16     
9          9000002         9999999         9500066.33     
10         10000000        10999997        10500215.36    
11         11000001        11999999        11499801.65    
12         12000000        12999999        12500352.44    
13         13000001        13999998        13500182.53    
14         14000001        14999999        14500142.72    
15         15000000        15999998        15499656.91    
16         16000000        16999997        16499568.95    
17         17000000        17999999        17499873.21    
18         18000001        18999996        18499881.09    
19         19000000        19999999        19499526.41    
20         20000000        20999998        20499723.42    
21         21000000        21999999        21499634.55    
22         22000000        22999999        22499845.43    
23         23000000        23999998        23500181.57    
24         24000002        24999999        24499849.70    
25         25000000        25999999        25499702.16    
26         26000000        26999998        26499932.93    
27         27000000        27999997        27500026.84    
28         28000000        28999999        28500416.12    
29         29000000        29999998        29500409.31    
30         30000000        30999998        30499864.22    
31         31000002        31999998        31499857.43    
32         32000000        32999995        32499408.35    
33         33000003        33999999        33499941.57    
34         34000000        34999999        34499718.58    
35         35000001        35999999        35500562.72    
36         36000001        36999999        36500053.68    
37         37000000        37999999        37500545.81    
38         38000000        38999999        38500171.00    
39         39000001        39999999        39499650.01    
40         40000002        40999999        40500929.15    
41         41000000        41999999        41500419.54    
42         42000000        42999996        42500253.43    
43         43000000        43999999        43500124.67    
44         44000000        44999999        44500123.82    
45         45000000        45999999        45499800.63    
46         46000003        46999996        46500470.95    
47         47000002        47999999        47499904.04    
48         48000000        48999997        48499490.92    
49         49000000        49999997        49499928.13    
50         50000000        50999998        50499679.16    
51         51000000        51999998        51500094.40    
52         52000001        52999999        52499642.28    
53         53000000        53999999        53500223.82    
54         54000000        54999998        54499705.62    
55         55000000        55999999        55500145.65    
56         56000000        56999999        56500273.74    
57         57000000        57999998        57500055.02    
58         58000000        58999999        58500206.94    
59         59000002        59999999        59499905.26    
60         60000000        60999999        60500385.97    
61         61000003        61999999        61500313.18    
62         62000000        62999999        62499923.42    
63         63000000        63999999        63500205.38    
64         64000000        64999998        64499976.56    
65         65000000        65999996        65499781.95    
66         66000000        66999999        66499733.59    
67         67000005        67999999        67499880.88    
68         68000000        68999998        68499936.09    
69         69000003        69999999        69499848.11    
70         70000000        70999999        70500399.13    
71         71000000        71999999        71500055.29    
72         72000000        72999999        72499395.25    
73         73000000        73999999        73499762.60    
74         74000000        74999999        74500153.48    
75         75000000        75999998        75499677.63    
76         76000001        76999999        76499716.77    
77         77000000        77999998        77500094.90    
78         78000001        78999999        78500140.79    
79         79000004        79999999        79499520.93    
80         80000000        80999999        80499509.93    
81         81000000        81999998        81499634.35    
82         82000000        82999999        82500313.31    
83         83000000        83999999        83500049.42    
84         84000000        84999996        84499711.64    
85         85000000        85999998        85499747.65    
86         86000000        86999998        86500703.97    
87         87000000        87999999        87499938.07    
88         88000000        88999999        88500532.16    
89         89000000        89999998        89500153.07    
90         90000001        90999999        90500255.17    
91         91000000        91999999        91500024.52    
92         92000000        92999998        92500045.35    
93         93000001        93999999        93499989.30    
94         94000000        94999999        94499847.48    
95         95000001        95999998        95499962.53    
96         96000002        96999999        96499877.89    
97         97000001        97999999        97499527.84    
98         98000000        98999998        98499880.75    
99         99000000        99999999        99499990.08    
100        100000000       100999999       100499590.41   
101        101000000       101999998       101500396.12   
102        102000000       102999999       102499570.14   
103        103000000       103999999       103499884.61   
104        104000000       104999999       104499862.45   
105        105000003       105999997       105499910.61   
106        106000000       106999999       106499725.68   
107        107000000       107999999       107499982.85   
108        108000000       108999999       108500027.29   
109        109000000       109999999       109500019.89   
110        110000002       110999999       110500204.07   
111        111000000       111999998       111499852.18   
